australian_appl_no,patent_status_type,examination_section_name,invention_description
2006320578,LAPSED,,Purine derivatives and methods of use thereof
2006320580,CEASED,CHEM 2 - Chemical Compounds,Inhibitors of c-Met and uses thereof
2006320589,GRANTED,ELEC 3 - Computing,Delay start-up of applications
2006320591,CEASED,CHEM 3 - Pharmaceuticals,Formulations of quinolinones
2006320594,LAPSED,,An applicator cartridge for an electrokinetic delivery system for self administration of medicaments
2006320595,LAPSED,,Combination cartridge and device for electrokinetic delivery of medicament to a treatment site
2006320596,GRANTED,CHEM 1 - Biotechnology,Plants having improved growth characteristics and methods for making the same
2006320604,LAPSED,,Compounds for the treatment of inflammatory disorders and microbial diseases
2006320611,LAPSED,MECH 4 - Medical Devices,"MRI-guided localization and/or lead placement systems, related methods, devices and computer program products"
2006320612,CEASED,CHEM 4 - Polymers and Applied Chemistry,Reduced calorie frozen beverage
2006320613,CEASED,CHEM 4 - Polymers and Applied Chemistry,The use of bacillus PB6 for the prophylaxis or treatment of gastrointestinal and immuno-related diseases
2006320621,LAPSED,,Compounds for the treatment of inflammatory disorders and microbial diseases
2006320622,GRANTED,MECH 4 - Medical Devices,Inline vaporizer
2006320623,GRANTED,MECH 4 - Medical Devices,Infant nasal interface mask
2006320626,GRANTED,MXT - Mixed Technology,Nasal continuous positive airway pressure device and system
2006320631,GRANTED,CHEM 4 - Polymers and Applied Chemistry,Liquid nonionic surfactants for emulsion polymerization and other applications
2006320633,LAPSED,CHEM 1 - Biotechnology,Optimization and individualization of medication selection and dosing
2006320634,CEASED,CHEM 4 - Polymers and Applied Chemistry,"Weatherable, high modulus polymer compositions and method"
2006320639,CEASED,CHEM 4 - Polymers and Applied Chemistry,Coated calcium hypochlorite composition
2006320643,GRANTED,ELEC 3 - Computing,Method and device for high performance regular expression pattern matching
2006320646,GRANTED,CHEM 4 - Polymers and Applied Chemistry,Prepregs and cured in place solid surfaces prepared therefrom
2006320654,LAPSED,CHEM 1 - Biotechnology,Targeting of SALL4 for the treatment and diagnosis of proliferative disorders associated with myelodysplastic syndrome (MDS)
2006320655,LAPSED,MXT - Mixed Technology,Substituted phenethylamines with serotoninergic and/or norepinephrinergic activity
2006320657,LAPSED,CHEM 4 - Polymers and Applied Chemistry,Razor blade and method of making it
2006320660,LAPSED,CHEM 4 - Polymers and Applied Chemistry,Real time binding analysis of antigens on a biosensor surface
2006320663,LAPSED,MECH 4 - Medical Devices,Short wire PEG and PEG-J tube
2006320668,LAPSED,,Rooftop equipment support and method of use
2006320669,GRANTED,MXT - Mixed Technology,Method and system for income estimation
2006320670,CEASED,MXT - Mixed Technology,Methods for the treatment of muscle loss
2006320692,LAPSED,ELEC 2 - Electronics and Communications,Detecting repeating content in broadcast media
2006320693,GRANTED,ELEC 3 - Computing,Social and interactive applications for mass media
2006320699,LAPSED,MECH 5 - Packaging and Appliances,Peptide inhibitors of ABL kinases
2006320711,GRANTED,MECH 3 - Process Engineering,Conveyor plate with integrated roller
2006320712,GRANTED,MECH 4 - Medical Devices,Infant nasal interface prong device
2006320722,CEASED,MECH 3 - Process Engineering,Apparatus and method for controlled pelletization processing
2006320723,CEASED,MECH 4 - Medical Devices,Ultrasonic medical instrument and medical instrument connection assembly
2006320732,GRANTED,MECH 4 - Medical Devices,Over the endoscope introducer for stents
2006320738,LAPSED,,"Wearable, programmable automated blood testing system"
2006320739,GRANTED,MECH 4 - Medical Devices,Uniform surfaces for hybrid material substrates and methods for making and using same
2006320741,LAPSED,,System and method for evaluating suitability of packaging for production process
2006320765,CEASED,CHEM 1 - Biotechnology,Balanced translocation in comparative hybridization
2006320774,GRANTED,CHEM 3 - Pharmaceuticals,Hyaluronic acid and hyaluronidase in the enhancement of lens regeneration
2006320780,LAPSED,ELEC 3 - Computing,"Methods, systems, and computer integrated program products for supply chain management"
2006320781,LAPSED,ELEC 2 - Electronics and Communications,Representing business transactions
2006320788,GRANTED,"Vacant - A1 PBR, Plants and Biotechnology",Solid biocidal compositions and methods of using the same
2006320797,LAPSED,CHEM 2 - Chemical Compounds,Heterocycle-substituted 3-alkyl azetidine derivatives
2006320798,LAPSED,ELEC 1 - Physics,Apparatus and method for measuring real-time corrosion
2006320803,GRANTED,ELEC 1 - Physics,Improved heat sink assembly
2006320804,GRANTED,ELEC 1 - Physics,Turbocharged engine system and method of operation
2006320816,GRANTED,MXT - Mixed Technology,Fault interrupting and reclosing device
2006320832,GRANTED,CHEM 3 - Pharmaceuticals,Confectionary compositions with Magnolia Bark Extract
2006320836,LAPSED,ELEC 2 - Electronics and Communications,Sustaining a fleet of configuration-controlled assets
2006320846,GRANTED,MXT - Mixed Technology,Vehicles for oral care with Magnolia Bark Extract
2006320849,CEASED,MECH 3 - Process Engineering,Cross-flow membrane module
2006320852,GRANTED,MXT - Mixed Technology,"Detergent composition containing branched alcohol alkoxylate and compatibilizing surfactant, and method for using"
2006320858,LAPSED,,Methods for production of receptor and ligand isoforms
2006320868,LAPSED,MECH 4 - Medical Devices,Powered stimulation device
2006320904,LAPSED,MXT - Mixed Technology,Polyolefins from non-conventional feeds
2006320907,GRANTED,ELEC 3 - Computing,Clock synchronization for a machine control system
2006320908,LAPSED,,Electronic mail system for a machine
2006320914,WITHDRAWN,,Flexible absorbent article
2006320916,GRANTED,ELEC 1 - Physics,Microfluidic membrane pump and valve
2006320919,GRANTED,CHEM 3 - Pharmaceuticals,Transdermal therapeutic system
2006320922,LAPSED,ELEC 3 - Computing,Vehicle control using off-board information related to the position
2006320925,LAPSED,MXT - Mixed Technology,Security device with perimeter alarm
2006320927,GRANTED,ELEC 3 - Computing,Method and system for registering a distributed service site
2006320936,GRANTED,ELEC 2 - Electronics and Communications,Dual-sided thermal printing with labels
2006320943,LAPSED,,Light separator
2006320945,GRANTED,CHEM 2 - Chemical Compounds,"Heterocyclic-substituted bis-1,8 naphthalimide compounds, antibody drug conjugates, and methods of use"
2006320978,GRANTED,MECH 1 - Mechanical Engineering,Tine raking device
2006320982,LAPSED,,Providing information in a multi-screen device
2006320983,GRANTED,MXT - Mixed Technology,Construction system
2006320987,CEASED,MECH 4 - Medical Devices,Prechargeable fluid filtration method and apparatus
2006321007,LAPSED,CHEM 3 - Pharmaceuticals,Oral pharmaceutical dosage form comprising as active ingredients a proton pump inhibitor together with acetyl salicyclic acid
2006321010,GRANTED,MECH 3 - Process Engineering,System and method for distribution and dispensing of beverages
2006321018,GRANTED,ELEC 1 - Physics,A method of discovering leakage in a heat exchanger
2006321020,GRANTED,MECH 3 - Process Engineering,Process of producing high-yield pulp
2006321027,LAPSED,,Method for determining the quality of a biological sample
2006321030,GRANTED,MECH 3 - Process Engineering,Fragrance delivery system
2006321032,LAPSED,MECH 3 - Process Engineering,Fragrance delivery system
2006321048,LAPSED,,Fishing rod
2006321049,GRANTED,MECH 2 - Construction and Mining,Drill fluid collecting device
2006321056,GRANTED,CHEM 4 - Polymers and Applied Chemistry,Compositions comprising whey proteins and lipids and processes of their preparation
2006321057,GRANTED,CHEM 3 - Pharmaceuticals,Method of dynamic nuclear polarisation (DNP) using a trityl radical and a paramagnetic metal ion
2006321058,CEASED,CHEM 2 - Chemical Compounds,Multimeric magentic resonance contrast agents
2006321065,GRANTED,MXT - Mixed Technology,Syringe for use. in spectroscopy
2006321066,GRANTED,MECH 2 - Construction and Mining,Anchoring system for posts
2006321067,GRANTED,MECH 3 - Process Engineering,Treatment of wood based on novel formulations of boratranes background of the invention
2006321122,GRANTED,MECH 1 - Mechanical Engineering,Heat cycle system and composite heat cycle electric power generation system
2006321133,LAPSED,,"Head degenerative disease detection method, detecting program, and detector"
2006321134,CEASED,MECH 1 - Mechanical Engineering,Pedal structure
2006321140,GRANTED,MECH 1 - Mechanical Engineering,Variable valve timing apparatus
2006321162,CEASED,CHEM 3 - Pharmaceuticals,A method for the combined production of a sulfur oxide containing product and a fertilizer
2006321165,GRANTED,CHEM 3 - Pharmaceuticals,Use of A3 adenosine receptor agonist in osteoarthritis treatment
2006321169,LAPSED,ELEC 1 - Physics,Optical projection system and method for a cooled light source
2006321172,GRANTED,CHEM 1 - Biotechnology,Methods of improving stem cell homing and engraftment
2006321179,LAPSED,MECH 3 - Process Engineering,A liner component for use in mining and quarrying industries
2006321204,LAPSED,MECH 3 - Process Engineering,Filter element
2006321206,LAPSED,MXT - Mixed Technology,Dentifrice composition free of abrasive material
2006321207,LAPSED,,Dentifrice composition comprising binder system comprising hydrophilic clay material
2006321208,LAPSED,CHEM 3 - Pharmaceuticals,Dentifrice composition
2006321212,LAPSED,"Vacant - A1 PBR, Plants and Biotechnology",Use of di- or oligosaccharide polyester in hair styling products
2006321220,LAPSED,"Vacant - A1 PBR, Plants and Biotechnology",Hair styling cream
2006321234,LAPSED,,A dispensing toothbrush
2006321235,GRANTED,MECH 2 - Construction and Mining,Scavenging cleaning system
2006321245,GRANTED,MXT - Mixed Technology,Depolymerization of fluoropolymers
2006321277,GRANTED,MECH 3 - Process Engineering,Pressure beverage cartridge and preparation method
2006321284,GRANTED,CHEM 2 - Chemical Compounds,Substituted indole compounds having NOS inhibitory activity
2006321287,CEASED,CHEM 3 - Pharmaceuticals,Compositions and methods relating to treatment of cancer and infectious diseases
2006321289,GRANTED,,Two step lateral flow assay methods and devices
2006321293,LAPSED,ELEC 2 - Electronics and Communications,"Method, apparatus and article for collisionless beacon transmission for wireless networks"
2006321294,LAPSED,,Pharmaceutical compositions comprising carboxyalkylsulfonic acids
2006321321,GRANTED,CHEM 3 - Pharmaceuticals,"Method for determining the concentration of the adipocytic form of the fatty acid binding protein (A-FABP, FABP4, P2)"
2006321323,GRANTED,ELEC 2 - Electronics and Communications,Ophthalmic lens
2006321328,GRANTED,ELEC 2 - Electronics and Communications,Magnet holder for permanent magnet rotors of rotating machines
2006321329,LAPSED,CHEM 4 - Polymers and Applied Chemistry,Purification of raw hydrogen
2006321344,LAPSED,,Methods and systems for reduced NOx combustion of coal with injection of heated nitrogen-containing gas
2006321346,CEASED,MECH 3 - Process Engineering,Coal upgrading process utilizing nitrogen and/or carbon dioxide
2006321349,LAPSED,CHEM 2 - Chemical Compounds,Spirocyclic quinazoline derivatives as PDE7 inhibitors
2006321352,CEASED,ELEC 2 - Electronics and Communications,Circuit breaker including open neutral interlock
2006321364,LAPSED,,Noncompetitive domain antibody formats that bind Interleukin 1 Receptor type 1
2006321366,LAPSED,MECH 2 - Construction and Mining,A work bench and work bench assembly
2006321367,LAPSED,CHEM 3 - Pharmaceuticals,Competitive domain antibody formats that bind Interleukin 1 Receptor type 1
2006321368,LAPSED,,Dog diabetes
2006321369,LAPSED,,Method for identifying MHC alleles in dogs
2006321372,GRANTED,MXT - Mixed Technology,Method for identifying a modulator of a cell signalling
2006321380,CEASED,MECH 2 - Construction and Mining,Method and apparatus for installing deflecting conductor pipe
2006321381,LAPSED,MXT - Mixed Technology,Particles
2006321389,LAPSED,CHEM 4 - Polymers and Applied Chemistry,Methods to monitor diagnose and identify biomarkers for psychotic disorders
2006321393,CEASED,ELEC 1 - Physics,Apparatus for determining the presence of a contaminant in a sample of water or other fluid
2006321394,LAPSED,CHEM 4 - Polymers and Applied Chemistry,Confectionery product
2006321402,CEASED,ELEC 3 - Computing,A method and apparatus for verifying a person's identity or entitlement using one-time transaction codes
2006321415,CEASED,CHEM 4 - Polymers and Applied Chemistry,Terpene-containing compositions and methods of making and using them
2006321416,CEASED,CHEM 4 - Polymers and Applied Chemistry,"Compositions and methods comprising terpenes or terpene mixtures selected from thymol, eugenol, geraniol, citral, and L-carvone"
2006321420,GRANTED,MECH 3 - Process Engineering,An electrolysis apparatus
2006321429,GRANTED,CHEM 2 - Chemical Compounds,Process for producing ethylene
2006321431,GRANTED,,Removable axle method incorporated within a collapsible motorcycle trailer
2006321445,LAPSED,CHEM 4 - Polymers and Applied Chemistry,Improvements in and relating to nutritional products
